id,items
0,"['burgers', 'eggs', 'meatballs']"
1,['chutney']
2,"['avocado', 'turkey']"
3,"['energy bar', 'mineral water', 'whole wheat rice', 'green tea', 'milk']"
4,['low fat yogurt']
5,"['whole wheat pasta', 'french fries']"
6,"['soup', 'shallot', 'light cream']"
7,"['spaghetti', 'green tea', 'frozen vegetables']"
8,['french fries']
9,"['pet food', 'eggs']"
10,['cookies']
11,"['mineral water', 'eggs', 'turkey', 'burgers', 'cooking oil']"
12,"['cookies', 'champagne', 'spaghetti']"
13,"['mineral water', 'salmon']"
14,['mineral water']
15,"['low fat yogurt', 'honey', 'shrimp', 'chocolate', 'chicken', 'cooking oil', 'oil']"
16,"['eggs', 'turkey']"
17,"['mineral water', 'spaghetti', 'eggs', 'salmon', 'turkey', 'tomatoes', 'black tea', 'extra dark chocolate', 'chicken', 'fresh tuna']"
18,"['honey', 'meatballs', 'french fries', 'milk', 'protein bar']"
19,"['red wine', 'pepper', 'eggs', 'shrimp', 'shampoo', 'chocolate', 'pasta']"
20,"['sparkling water', 'rice']"
21,"['spaghetti', 'mineral water', 'pancakes', 'ham', 'green tea', 'body spray']"
22,"['honey', 'shrimp', 'white wine', 'burgers', 'avocado', 'toothpaste', 'grated cheese', 'pasta']"
23,['eggs']
24,"['soup', 'fresh bread', 'spaghetti', 'parmesan cheese', 'milk', 'avocado']"
25,"['energy bar', 'spaghetti', 'mineral water', 'frozen smoothie', 'salmon', 'escalope', 'ground beef', 'black tea', 'milk']"
26,['sparkling water']
27,"['mineral water', 'eggs', 'chocolate', 'french fries', 'chicken']"
28,"['spaghetti', 'mineral water', 'yams', 'frozen vegetables']"
29,"['herb & pepper', 'tomato sauce', 'light cream', 'magazines']"
30,"['mineral water', 'eggs', 'chocolate', 'avocado']"
31,"['turkey', 'strawberries', 'french fries']"
32,"['chocolate', 'strong cheese', 'frozen vegetables']"
33,['cookies']
34,"['spaghetti', 'salmon', 'pickles', 'escalope']"
35,"['energy bar', 'french fries']"
36,"['red wine', 'mineral water', 'ground beef']"
37,"['mineral water', 'cottage cheese', 'cake']"
38,"['champagne', 'pickles', 'green tea']"
39,['spaghetti']
40,"['spaghetti', 'mineral water', 'whole wheat rice', 'frozen smoothie', 'honey', 'escalope', 'fresh tuna', 'frozen vegetables']"
41,['spaghetti']
42,"['soup', 'hot dogs', 'meatballs', 'sparkling water']"
43,['escalope']
44,"['soup', 'hot dogs', 'pancakes', 'brownies', 'green tea', 'french fries', 'body spray', 'avocado']"
45,"['mineral water', 'cereals', 'clothes accessories', 'chicken']"
46,"['mineral water', 'bug spray']"
47,"['avocado', 'muffins']"
48,"['burgers', 'black tea', 'green tea']"
49,"['spaghetti', 'white wine', 'chocolate', 'brownies', 'green tea']"
50,"['eggs', 'mineral water', 'fresh tuna']"
51,"['spaghetti', 'muffins']"
52,"['chocolate', 'spaghetti']"
53,"['champagne', 'french fries', 'escalope']"
54,"['tomato sauce', 'light mayo']"
55,"['soup', 'spaghetti', 'mineral water', 'turkey', 'olive oil', 'ground beef', 'chocolate', 'tomatoes', 'milk', 'fresh tuna', 'frozen vegetables']"
56,"['cookies', 'eggs']"
57,"['soup', 'soda', 'energy drink', 'gums', 'green tea', 'body spray', 'chicken']"
58,"['mineral water', 'turkey', 'green tea', 'cider', 'cooking oil', 'frozen vegetables']"
59,['spaghetti']
60,['clothes accessories']
61,['energy drink']
62,"['soup', 'shallot', 'green tea', 'bug spray', 'protein bar']"
63,"['eggs', 'turkey']"
64,['french fries']
65,"['chocolate', 'milk']"
66,"['mineral water', 'whole wheat rice', 'herb & pepper', 'whole wheat pasta', 'ground beef', 'cider', 'avocado']"
67,['cookies']
68,"['shrimp', 'pasta']"
69,"['herb & pepper', 'corn', 'tomato sauce', 'tomatoes', 'grated cheese']"
70,"['burgers', 'shallot', 'escalope']"
71,['cookies']
